id,name,rating,review_count,amazon_url
113,Chew Necklace for Sensory Kids,4.7,870,https://www.amazon.com/dp/B0CFKS9GL1
114,Chew Necklaces Sensory for Girls,4.6,1717,https://www.amazon.com/dp/B099WJRF85
115,Chew Sensory Necklaces for Boys,4.6,1892,https://www.amazon.com/dp/B0CG1CD1CC
116,Teething Sticks for Babies/Infants/Toddlers,4.7,870,https://www.amazon.com/dp/B0CFKS9GL1
117,Sensory Chew Toys for Autistic Children,4.6,1861,https://www.amazon.com/dp/B0D2GXMTJ2
118,5 Pounds Weighted Blanket Kids,4.7,494,https://www.amazon.com/dp/B0FP4MGCDH
119,Kids Weighted 5lbs Blanket,4.7,2129,https://www.amazon.com/dp/B09W58SLLN
120,Microwavable Weighted Stuffed Bunny,4.5,1233,https://www.amazon.com/dp/B0F5WNKNB9
121,Microwavable Weighted Stuffed Unisex,4.5,1233,https://www.amazon.com/dp/B0F5WNKNB9
122,Microwavable Weighted Stuffed Bunny,4.5,1233,https://www.amazon.com/dp/B0F5WNKNB9
124,Wearable Hooded Blanket,4.7,2969,https://www.amazon.com/dp/B09Z97T8TP
125,Sensory Max Liquidator Water Blaster Set,4.0,31,https://www.amazon.com/dp/B00647GWP0
126,Construction Toys with Electric Drill,4.6,272,https://www.amazon.com/dp/B0FKT2MJ2W
127,Moveable Dinosaur Shooting Toys,4.1,454,https://www.amazon.com/dp/B0D97QWJ14
128,Inflatable Dinosaur Bounce Hopper Ball,4.7,516,https://www.amazon.com/dp/B08ZMVHFTC
129,Glow-in-The-Dark Light Up Hopper Ball,4.7,516,https://www.amazon.com/dp/B08ZMVHFTC
130,Inflatable Unicorn Bounce Hopper Ball,4.7,1126,https://www.amazon.com/dp/B0BD469R8Y
131,Unicorn Sit and Spinning Seat,4.4,176,https://www.amazon.com/dp/B0DGX5QV9V
132,Fun Shooting Game Toy,4.3,1551,https://www.amazon.com/dp/B09R1XFNZ6
133,Moveable Dinosaur Shooting Game Toy,3.9,175,https://www.amazon.com/dp/B0FFYMYB9K
134,Dinosaur Inflatable Punching Bag,4.2,403,https://www.amazon.com/dp/B0F8HLRYBL
135,Kids Punching Bag,4.6,30,https://www.amazon.com/dp/B0GWM4ZXYP
136,53PCS Outdoor/Indoor Sensory/Movement Games,4.3,55,https://www.amazon.com/dp/B0F9983Z7L
137,Bubble Making Gun,4.4,628,https://www.amazon.com/dp/B0DS5X1FLH
138,Flex-Space Fold-able Floor Seat,4.3,589,https://www.amazon.com/dp/B07KF5ZYPY
139,Leaf Floor Seat Rocker Chair,4.7,197,https://www.amazon.com/dp/B0BVYCHBP5
140,Sensory Rocking Chair,4.4,221,https://www.amazon.com/dp/B0DHYDYPS4
143,Indoor Twin Bed Sensory Calming Tent Canopy,4.3,185,https://www.amazon.com/dp/B0GY48VY17
144,Sensory Star Night Light,4.4,6036,https://www.amazon.com/dp/B08SQ88X9F
145,Sensory Squishy Toys,4.6,4945,https://www.amazon.com/dp/B0DG2VRFV7
146,Sensory Fidget Toys,4.1,28,https://www.amazon.com/dp/B0DLKZJMQR
147,Sensory Fidget Toys,4.8,678,https://www.amazon.com/dp/B0B8YY1GT8
148,Sensory Swivel Chairs,4.8,1567,https://www.amazon.com/dp/B0CSFDX9HM
149,Heating Pad for Neck Shoulders and Back Pain,4.2,119,https://www.amazon.com/dp/B0FWQXQFDS
150,Microwavable Unscented Heating Mint Color Pad,4.6,4199,https://www.amazon.com/dp/B0BNK9R276
151,Plush Weighted Stuffed Animals,4.5,1233,https://www.amazon.com/dp/B0F5WNKNB9
